date,PHU,ageGrp,population,doses
2021-07-27,ALGOMA DISTRICT,12-17yrs,6504,46
2021-07-27,BRANT COUNTY,12-17yrs,10734,107
2021-07-27,CHATHAM-KENT,12-17yrs,7233,60
2021-07-27,CITY OF HAMILTON,12-17yrs,37018,546
2021-07-27,CITY OF OTTAWA,12-17yrs,66222,1357
2021-07-27,DURHAM REGION,12-17yrs,51038,1864
2021-07-27,EASTERN ONTARIO,12-17yrs,13423,268
2021-07-27,GREY BRUCE,12-17yrs,10179,105
2021-07-27,HALDIMAND-NORFOLK,12-17yrs,7138,181
2021-07-27,HALIBURTON KAWARTHA PINE RIDGE,12-17yrs,10093,189
2021-07-27,HALTON REGION,12-17yrs,49248,907
2021-07-27,HASTINGS & PRINCE EDWARD COUNTIES,12-17yrs,9953,95
2021-07-27,HURON PERTH,12-17yrs,9790,496
2021-07-27,KINGSTON FRONTENAC LENNOX & ADDINGTON,12-17yrs,11803,166
2021-07-27,LAMBTON COUNTY,12-17yrs,8280,130
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,12-17yrs,10477,91
2021-07-27,MIDDLESEX-LONDON,12-17yrs,31735,695
2021-07-27,NIAGARA REGION,12-17yrs,28353,331
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,12-17yrs,7244,17
2021-07-27,NORTHWESTERN,12-17yrs,6670,196
2021-07-27,PEEL REGION,12-17yrs,118974,1316
2021-07-27,PETERBOROUGH COUNTY-CITY,12-17yrs,8041,204
2021-07-27,PORCUPINE,12-17yrs,5754,75
2021-07-27,RENFREW COUNTY AND DISTRICT,12-17yrs,6329,41
2021-07-27,SIMCOE MUSKOKA DISTRICT,12-17yrs,37614,509
2021-07-27,SOUTHWESTERN,12-17yrs,15337,245
2021-07-27,SUDBURY AND DISTRICT,12-17yrs,11889,84
2021-07-27,THUNDER BAY DISTRICT,12-17yrs,9043,264
2021-07-27,TIMISKAMING,12-17yrs,1897,2
2021-07-27,TORONTO,12-17yrs,162546,1403
2021-07-27,WATERLOO REGION,12-17yrs,40049,602
2021-07-27,WELLINGTON-DUFFERIN-GUELPH,12-17yrs,21168,570
2021-07-27,WINDSOR-ESSEX COUNTY,12-17yrs,29770,209
2021-07-27,YORK REGION,12-17yrs,89973,955
2021-07-27,ALGOMA DISTRICT,18-29yrs,15509,86
2021-07-27,BRANT COUNTY,18-29yrs,24059,199
2021-07-27,CHATHAM-KENT,18-29yrs,14984,12
2021-07-27,CITY OF HAMILTON,18-29yrs,100237,828
2021-07-27,CITY OF OTTAWA,18-29yrs,186587,1479
2021-07-27,DURHAM REGION,18-29yrs,114063,1242
2021-07-27,EASTERN ONTARIO,18-29yrs,27830,252
2021-07-27,GREY BRUCE,18-29yrs,22126,203
2021-07-27,HALDIMAND-NORFOLK,18-29yrs,15900,112
2021-07-27,HALIBURTON KAWARTHA PINE RIDGE,18-29yrs,22520,217
2021-07-27,HALTON REGION,18-29yrs,95648,1099
2021-07-27,HASTINGS & PRINCE EDWARD COUNTIES,18-29yrs,22375,192
2021-07-27,HURON PERTH,18-29yrs,20393,439
2021-07-27,KINGSTON FRONTENAC LENNOX & ADDINGTON,18-29yrs,34068,203
2021-07-27,LAMBTON COUNTY,18-29yrs,18558,444
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,18-29yrs,21695,162
2021-07-27,MIDDLESEX-LONDON,18-29yrs,88180,878
2021-07-27,NIAGARA REGION,18-29yrs,70592,695
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,18-29yrs,17552,112
2021-07-27,NORTHWESTERN,18-29yrs,13990,129
2021-07-27,PEEL REGION,18-29yrs,278974,2616
2021-07-27,PETERBOROUGH COUNTY-CITY,18-29yrs,21688,256
